[2023-03-07T23:21:38.607400+0300] [DEBUG] [logging.py:19]  Received callback query [data:"simple_calendar:PREV-YEAR:2023:2:1"] from user [ID:448470724] for message [ID:661] in chat [ID:448470724]
[2023-03-07T23:21:40.155513+0300] [DEBUG] [logging.py:19]  Received callback query [data:"simple_calendar:NEXT-YEAR:2022:2:1"] from user [ID:448470724] for message [ID:661] in chat [ID:448470724]
[2023-03-07T23:21:43.737665+0300] [DEBUG] [logging.py:19]  Received callback query [data:"simple_calendar:NEXT-MONTH:2023:2:0"] from user [ID:448470724] for message [ID:661] in chat [ID:448470724]
[2023-03-07T23:21:45.296735+0300] [DEBUG] [logging.py:19]  Received callback query [data:"simple_calendar:NEXT-MONTH:2023:3:0"] from user [ID:448470724] for message [ID:661] in chat [ID:448470724]
[2023-03-07T23:21:53.731601+0300] [DEBUG] [logging.py:19]  Received callback query [data:"simple_calendar:IGNORE:2023:4:0"] from user [ID:448470724] for message [ID:661] in chat [ID:448470724]
[2023-03-07T23:21:59.174054+0300] [DEBUG] [logging.py:19]  Received callback query [data:"simple_calendar:DAY:2023:4:29"] from user [ID:448470724] for message [ID:661] in chat [ID:448470724]
[2023-03-07T23:41:35.265146+0300] [INFO] [main.py:11]  Bot startup
[2023-03-07T23:41:38.259244+0300] [DEBUG] [logging.py:11]  Received message [AQID:663] from user [ID:448470724] in chat [ID:448470724] text "/date"
[2023-03-07T23:41:42.438077+0300] [DEBUG] [logging.py:19]  Received callback query [data:"simple_calendar:DAY:2023:3:9"] from user [ID:448470724] for message [ID:664] in chat [ID:448470724]
[2023-03-07T23:44:31.217027+0300] [INFO] [main.py:11]  Bot startup
